issue_id,issue_number,volume,no_volume,display_volume_with_number,series_id,indicia_pub_not_printed,no_brand,publication_date,key_date,sort_code,price,page_count,page_count_uncertain,indicia_frequency,no_indicia_frequency,editing,no_editing,notes,created,modified,reserved,deleted,is_indexed,isbn,valid_isbn,no_isbn,variant_of_id,variant_name,barcode,no_barcode,title,no_title,on_sale_date,on_sale_date_uncertain,rating,no_rating
0,17836,17,1,0,0,1482,0,0,Aug-63,1963-08-00,40126,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,5/9/63,0,
20196,22,1,0,0,1576,0,0,Jul-66,1966-07-00,43848,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,1,,0
22412,51,1,0,0,1576,0,0,Dec-68,1968-12-00,43877,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,23341,82,1,0,0,1570,0,0,Mar-70,1970-03-00,42963,0.15 USD,36,0,"Monthly except November, semi-monthly",0,Stan Lee,0,,2/6/01 0:00,7/28/15 6:37,0,0,1,,,0,NULL,,,1,,0,,0,
0,18238,9,,0,0,1570,0,0,Feb-64,1964-02-00,42882,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,5/1/15 0:04,0,0,1,,,1,NULL,,,1,,0,11/12/63,0,
20135,21,1,0,0,1576,0,0,Jun-66,1966-06-00,43847,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
19309,12,1,0,0,1576,0,0,Jul-65,7/10/65,43837,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,19770,32,1,0,0,1570,0,0,Jan-66,1966-01-00,42910,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,2/11/15 0:08,0,0,1,,,1,NULL,,,1,,0,,0,
0,17152,6,1,0,0,1482,0,0,Sep-62,1962-09-00,40113,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,3/31/15 11:46,0,0,1,,,1,NULL,,,1,,0,6/12/62,0,
0,18239,23,1,0,0,1482,0,0,Feb-64,1964-02-00,40135,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,,0,
0,18444,13,,0,0,1570,0,0,Jun-64,1964-06-00,42889,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,5/1/15 0:06,0,0,1,,,1,NULL,,,1,,0,3/10/64,0,
0,18494,14,,0,0,1570,0,0,Jul-64,1964-07-00,42890,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,5/1/15 0:17,0,0,1,,,1,NULL,,,1,,0,4/9/64,0,
0,21364,67,1,0,0,1482,0,0,Oct-67,1967-10-00,40182,0.12 USD,36,0,monthly except November semi-monthly,0,Stan Lee,0,,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,,0,
0,18286,10,1,0,0,1570,0,0,Mar-64,1964-03-00,42884,0.12 USD,36,0,Monthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,5/1/15 0:05,0,0,1,,,1,NULL,,,1,,0,12/9/63,0,
19463,13,1,0,0,1576,0,0,Sep-65,9/10/65,43838,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
1,0,20186,30,1,0,0,1571,0,0,Jul-66,7/10/66,43343,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
19614,14,1,0,0,1576,0,0,Nov-65,11/10/65,43839,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
1,0,18386,5,1,0,0,1571,0,0,May-64,5/10/64,43316,0.12 USD,36,0,bi-monthly,0,Stan Lee,0,,2/6/01 0:00,9/27/15 2:19,0,0,1,,,1,NULL,,,1,,0,,0
1,0,18692,9,1,0,0,1571,0,0,Oct-64,10/10/64,43321,0.12 USD,36,0,"monthly with the exception of December, February, April and June",0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
20056,20,1,0,0,1576,0,0,May-66,1966-05-00,43846,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,1,,0
20607,27,1,0,0,1576,0,0,Dec-66,1966-12-00,43853,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,19837,33,1,0,0,1570,0,0,Feb-66,1966-02-00,42912,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,7/28/15 6:37,0,0,1,,,1,NULL,,,1,,0,,0,
21670,41,1,0,0,1576,0,0,Feb-68,1968-02-00,43867,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,17774,16,1,0,0,1482,0,0,Jul-63,1963-07-00,40124,0.12 USD,36,0,monthly,0,Stan Lee,0,Starting with this issue the The is dropped from the cover logo.
The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,4/3/15 13:40,0,0,1,,,1,NULL,,,1,,0,4/9/63,0,
1,0,19681,23,1,0,0,1571,0,0,Dec-65,12/10/65,43335,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,5/8/15 1:07,0,0,1,,,1,NULL,,,1,,0,,0
0,19846,74,1,0,0,1442,0,0,Feb-66,1966-02-00,38560,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
