year,gender
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,M
1966,F
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,F
1966,M
1966,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,F
1967,F
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,NULL 
1967,NULL 
1967,NULL 
1967,NULL 
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,NULL 
1967,M
1967,M
1967,M
1967,F
1967,M
1967,F
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,F
1967,F
1967,F
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,F
1967,NULL 
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,F
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,NULL 
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,NULL 
1967,M
1967,NULL 
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,F
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1967,M
1968,F
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,NULL 
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,NULL 
1968,M
1968,M
1968,M
1968,NULL 
1968,NULL 
1968,NULL 
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,F
1968,F
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,NULL 
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,F
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,F
1968,F
1968,F
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
