name,sex,count
Abdirizak,M,66
Abdisalam,M,5
Abdisalan,M,6
Abdisamad,M,18
Abdishakur,M,39
Abdiwahab,M,19
Abdiwali,M,5
Abdo,M,43
Abdon,M,352
Abdou,M,193
Abdoul,M,368
Abdoulaye,M,556
Abdoulaziz,M,10
Abdoulie,M,110
Abdourahman,M,5
Abdourahmane,M,18
Abdrahman,M,15
Abdrew,M,6
Abdu,M,32
Abdual,M,17
Abduallah,M,27
Abduel,M,5
Abdul,M,5344
Abdula,M,39
Abdulah,M,75
Abdulahad,M,48
Abdulahi,M,344
Abdulai,M,75
Abdulaye,M,5
Abdulazeem,M,5
Abdulazeez,M,25
Abdulaziz,M,973
Abdulbari,M,5
Abdulbasit,M,13
Abdule,M,6
Abdulelah,M,22
Abdulhadi,M,82
Abdulhakeem,M,30
Abdulhakim,M,16
Abdulhalim,M,5
Abdulhameed,M,5
Abdulhamid,M,46
Abduljabbar,M,16
Abduljaleel,M,5
Abduljalil,M,5
Abdulkadir,M,100
Abdulkareem,M,155
Abdulkarim,M,117
Abdull,M,5
Abdulla,M,402
Abdullah,M,5715
Abdullahi,M,1077
Abdullatif,M,28
Abdulloh,M,20
Abdulmajeed,M,22
Abdulmajid,M,15
Abdulmalek,M,5
Abdulmalik,M,338
Abdulmohsen,M,11
Abdulnasir,M,5
Abdulqadir,M,26
Abdulraheem,M,80
Abdulrahim,M,87
Abdulrahman,M,1681
Abdulrehman,M,49
Abdulrhman,M,28
Abdulsalam,M,20
Abdulsamad,M,5
Abdulwadud,M,5
Abdulwahab,M,113
Abdulwahid,M,10
Abdur,M,233
Abdurahman,M,274
Abdurraheem,M,17
Abdurrahim,M,27
Abdurrahmaan,M,5
Abdurrahman,M,657
Abdurrehman,M,30
Abdussamad,M,6
Abe,M,8932
Abeal,M,5
Abed,M,187
Abedallah,M,16
Abedalrahman,M,11
Abednego,M,53
Abeeha,F,70
Abeer,F,498
Abeera,F,28
Abegail,F,478
Abegale,F,5
Abegayle,F,23
Abel,M,41148
Abela,F,6
Abelardo,M,4187
Abelina,F,498
Abelino,M,819
Abell,M,11
Abella,F,490
Abem,M,48
Aben,M,17
Abena,F,540
Abenezer,M,109
Abeni,F,360
Aber,F,5
Aberdeen,F,101
Aberham,M,25
Abernathy,F,28
Abert,M,15
Abery,F,7
Abey,F,17
Abgail,F,29
Abha,F,40
Abhay,M,542
Abheek,M,7
Abhi,M,205
Abhigna,F,27
Abhijay,M,90
Abhijeet,M,45
Abhijit,M,42
Abhijot,M,32
Abhik,M,10
Abhilash,M,22
Abhimanyu,M,142
Abhinav,M,1563
Abhinay,M,5
Abhinaya,F,5
Abhiraj,M,53
Abhiram,M,635
Abhirup,M,10
Abhishek,M,753
Abi,F,448
Abia,F,73
Abiageal,F,125
Abiah,F,21
Abian,M,12
Abianna,F,5
Abibail,F,6
Abid,M,303
Abida,F,30
Abidan,M,10
Abie,M,632
Abiegail,F,15
Abiel,M,924
Abiela,F,15
Abiella,F,16
